lid,oid,primary_loc,location_name,comments,address,address2,city,state,zipcode,county,country,match_addr,side,ref_id,geographic_location
97133,77450,\N,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,\N
97134,77450,\N,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,oiNRAF http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,\N
97135,77451,\N,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E6100000BEA25BAFE9D252C014D044D8F0EE4340
97136,77451,\N,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,1YAM79 http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,\N
97137,77452,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E61000008E91EC116A7D52C0D6C56D3480694540
97138,77452,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E6100000EDF483BA487152C09FABADD85F6E4540
97139,77452,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E6100000A986FD9E587652C036B05582C55D4540
97140,77452,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E610000003081F4AB47B52C00727A25F5B6F4540
97141,77452,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E61000005A48C0E8F26F52C0C5AA4198DB534540
97142,77452,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E6100000ACC43C2B697152C00DFB3DB14E534540
